Fecha;Turbidez;Temperatura;Salinidad;Oxigeno;Clorofila
19/05/2017;2,001521349;23,0346412658691;41,44813538;6,041473866;0,936038017
24/05/2017;6,094403267;23,1284351348876;41,6734581;6,094633579;1,015891194
02/06/2017;4,11081028;24,5812816619873;41,92520523;6,231743813;1,467141271
06/06/2017;1,254146934;25,5700740814208;41,99172974;6,096852303;1,279728413
13/06/2017;3,323204279;26,1972351074218;42,18815994;6,06173563;1,202833891
21/06/2017;1,465621233;28,2284965515136;42,41734314;5,558415413;1,008094192
30/06/2017;2,224833488;27,0495014190673;42,6472435;4,885758877;1,24471128
05/07/2017;3,525289536;26,6236248016357;43,0096817;6,013712406;1,453031659
12/07/2017;1,897787213;28,0793285369873;43,12077332;5,828297615;2,010637045
19/07/2017;2,821261168;28,8791103363037;43,21356201;5,586859703;1,613444448
26/07/2017;1,740224481;29,5155220031738;43,45481491;5,688200951;1,811876655
30/08/2017;8,873456001;27,4319286346435;44,05550766;4,575324535;4,858102322
06/09/2017;7,418335915;27,1295223236083;44,07238388;4,561092854;4,97954464
11/09/2017;4,119320393;25,7637367248535;44,13997269;4,512014866;4,247883797
27/09/2017;6,909273148;24,8352661132812;44,19529343;5,845129013;4,446615696
04/10/2017;8,252984047;24,8756446838378;44,49936676;5,847646713;3,961126328
11/10/2017;4,738160133;24,1931343078613;44,55608749;5,360457897;3,972723961
17/10/2017;4,406065464;23,6464576721191;44,54464722;5,692973614;4,600115299
25/10/2017;4,541789532;21,7731018066406;44,6369133;5,68973875;4,168152332
03/11/2017;4,218606949;21,1033630371093;44,4691658;6,261956692;5,505832195
08/11/2017;4,834917545;18,2117366790771;44,467556;6,768086433;4,872249603
15/11/2017;5,155428886;15,7209835052490;44,62965012;7,216799736;4,517168045
22/11/2017;5,439268589;15,5113906860351;44,37778854;7,031199455;2,653458834
28/11/2017;4,918013096;15,5081100463867;44,31761932;6,509707928;2,78978157
05/12/2017;5,092292309;11,4152622222900;44,57252502;7,519583225;2,053347588
13/12/2017;5,368822098;11,7816772460937;44,31756973;7,067167759;2,19165349
18/12/2017;4,687733173;11,4312009811401;44,22274399;7,370354176;2,14181447
26/12/2017;4,096164703;11,8073520660400;43,86504364;7,433724403;1,725929856
02/01/2018;3,985422611;12,2162437438964;44,00131989;7,493206024;4,261530876
09/01/2018;3,144521713;12,0358695983886;43,62187576;7,406545639;2,991516113
17/01/2018;9,126980782;11,5248641967773;43,56080246;7,571323395;2,734910488
24/01/2018;9,462984085;12,5732803344726;43,3319664;7,714879513;2,754574299
31/01/2018;18,20347977;12,3555574417114;43,21777725;7,67443037;3,921688557
12/02/2018;3,689566851;10,8025770187377;42,66981125;8,279370308;5,480127811
20/02/2018;3,510411024;12,9629602432250;42,60943985;8,387276649;4,119351387
27/02/2018;2,643050671;12,9082584381103;42,52881622;8,037810326;4,911417007
07/03/2018;3,240403891;13,5170421600341;42,33413315;7,650508881;3,462308168
13/03/2018;2,700925589;15,1879072189331;42,58723068;7,317130089;2,975655794
26/03/2018;4,406817436;13,1940507888793;42,64354706;7,389643669;2,05454421
05/04/2018;2,854054451;16,7160625457763;42,90063095;7,174780369;1,354631186
17/04/2018;2,379300833;17,3126506805419;42,9946785;6,964915752;1,023299932
27/04/2018;2,596731186;18,4957427978515;43,1661644;6,62727356;1,41216445
02/05/2018;3,829606056;18,5576648712158;43,12794113;6,765146732;1,218906283
11/05/2018;2,025875092;21,5905990600585;43,48555756;6,408782005;1,689501286
16/05/2018;8,927702904;21,5455837249755;43,53720474;6,77270174;1,599080801
22/05/2018;1,647592902;22,8194103240966;43,63739014;6,469855309;0,858244836
30/05/2018;1,695501685;23,7843189239501;43,75325012;6,120737553;0,769037962
08/06/2018;12,86338615;23,9731349945068;44,00125885;5,89142561;0,695313215
12/06/2018;1,303139806;24,8378887176513;44,04380035;6,332353115;0,941618919
20/06/2018;3,155929089;26,3501777648925;44,21405029;6,271915436;0,886317551
26/06/2018;1,117081285;27,5375175476074;44,37582397;6,425238609;1,476103902
04/07/2018;2,542301416;27,7645225524902;44,44381714;6,092236042;1,925941467
10/07/2018;1,921023369;27,9269504547119;44,79674149;6,113693714;1,345804214
19/07/2018;1,001541972;28,1119956970214;44,74403;6,170199394;1,105209351
24/07/2018;0,973041296;28,9096279144287;45,17001343;6,349825382;1,056477308
03/08/2018;2,244586945;29,9629821777343;45,39710617;5,987717628;1,305310965
09/08/2018;1,850971699;30,4786224365234;45,55471802;5,833763599;0,782086074
14/08/2018;4,692698956;30,1627731323242;45,7091713;5,769882202;0,782010138
23/08/2018;6,486022949;28,9902057647705;45,86023712;6,247811317;0,931010306
29/08/2018;1,389561296;28,9088191986083;45,99994278;5,513906956;0,738594294
04/09/2018;1,318978429;28,6625308990478;46,04533768;5,659107208;0,916823804
13/09/2018;1,465226531;26,5452423095703;46,08140945;4,840758801;1,076204419
20/09/2018;1,608916521;26,9108142852783;45,8888092;5,942854881;1,145488977
03/10/2018;6,158875942;24,8247470855712;45,96217346;5,968473911;0,556877553
10/10/2018;7,553248405;22,6074180603027;45,71091843;4,980607986;0,602992654
17/10/2018;1,589999557;22,0557079315185;45,69739532;5,680863857;0,598123133
31/10/2018;1,648360252;17,4352970123291;45,00910187;6,428171158;0,911229551
07/11/2018;4,47543335;16,1460285186767;45,36663818;7,278636932;0,823750377
21/11/2018;2,636471272;16,4025917053222;44,24093246;6,804739475;1,323104024
28/11/2018;7,103271961;15,2747726440429;44,34026718;7,464522362;1,542570591
04/12/2018;3,111679554;14,6544256210327;44,28862381;7,733640671;1,024159074
11/12/2018;1,177142143;14,6758623123168;44,17814255;7,662246704;1,028503299
19/12/2018;2,156737566;13,3989095687866;44,03243637;7,615320683;0,737839043
26/12/2018;1,781411648;13,2455501556396;43,63043976;7,660845757;0,563747287
03/01/2019;1,806193948;12,6185827255249;43,85154724;7,710100174;0,70317322
09/01/2019;1,693013668;12,0707969665527;43,7184906;7,898602962;0,418316811
17/01/2019;0,774733186;11,4052267074584;43,42340851;7,803473949;0,299313307
25/01/2019;1,659134626;11,1834068298339;43,47989273;7,698217392;0,296705902
06/02/2019;3,520825786;11,1156971813195;43,65904166;7,812150592;0,377354934
12/02/2019;2,301968584;12,4394972969314;43,67294877;7,837488062;0,571359215
20/02/2019;1,053059253;13,3485932282128;43,44592282;7,631577808;0,22924841
26/02/2019;1,176037119;14,1477213058503;43,54415639;7,661122343;0,197054069
05/03/2019;1,079728141;15,7519904993016;43,39079932;7,547714703;0,289401488
12/03/2019;0,854829657;16,6217601702393;43,58705902;7,474261947;0,305703233
28/03/2019;2,709248852;15,6892432118228;43,45718209;7,30408895;0,326287283
15/04/2019;9,122205621;17,8540318056994;43,4901444;7,469948737;0,284871701
24/04/2019;14,78893087;16,5403308386453;42,41276229;7,118244476;1,244693821
30/04/2019;2,112838938;19,3037799136613;42,27126679;8,390298615;0,820533276
08/05/2019;1,517725981;21,1633413483372;42,69505084;7,177500312;0,808855129
15/05/2019;1,876475054;23,1125804560256;42,83869749;6,981424907;1,201655014
21/05/2019;1,825674419;22,8197525553556;42,9356099;6,353874247;2,043958549
